score: -10.934042426050437
entropic_risk: 10.934042426050437
pnl_mean: -8.340368205649854
pnl_std: 2.0345875761400234
loss_cvar_95: 12.698963569178863
loss_cvar_99: 14.179476259709833
fees_mean: 0.19372498179614545
turnover_mean: 1.9402953945177794
n_paths: 100000
leaderboard: public
paths_sha256: cc6e5c64489edf3cd15924a8c5bb1f96a47ea59de0595d6c52249efa5b22bb5b
seed: 3
xi: 0.3
architecture: mlp
feature_mode: local_bs_state
feature_names: ['log_moneyness', 'time_to_expiry', 'instantaneous_volatility', 'previous_hedge']
prediction_target: local_bs_deviation
output_initialization: zero_last
hidden_dims: [64, 32]
activation: leaky_relu
optimizer: adam
learning_rate: 0.001
paths_per_epoch: 3000
parameter_count: 2433
best_epoch: 6000
fit_and_eval_seconds: 505.34891524259
primary_comparator: DeepHedger-NTBN-v1
smoke: False
