score: -10.919436009364615
entropic_risk: 10.919436009364615
pnl_mean: -8.337448807480335
pnl_std: 2.033856917063678
loss_cvar_95: 12.668829752192261
loss_cvar_99: 14.151672103188254
fees_mean: 0.1913441885006428
turnover_mean: 1.916964634460211
n_paths: 100000
leaderboard: public
paths_sha256: cc6e5c64489edf3cd15924a8c5bb1f96a47ea59de0595d6c52249efa5b22bb5b
seed: 2
xi: 0.3
architecture: mlp
feature_mode: local_bs_state
feature_names: ['log_moneyness', 'time_to_expiry', 'instantaneous_volatility', 'previous_hedge']
prediction_target: local_bs_deviation
output_initialization: zero_last
hidden_dims: [64, 32]
activation: leaky_relu
optimizer: adam
learning_rate: 0.001
paths_per_epoch: 3000
parameter_count: 2433
best_epoch: 5000
fit_and_eval_seconds: 487.4007495166734
primary_comparator: DeepHedger-NTBN-v1
smoke: False
