score: -9.623107049804771
entropic_risk: 9.623107049804771
pnl_mean: -8.592893827836514
pnl_std: 1.4505411700949797
loss_cvar_95: 11.429114006872393
loss_cvar_99: 12.475181855879105
fees_mean: 0.20309141919367016
turnover_mean: 2.0405653150963783
n_paths: 100000
leaderboard: public
paths_sha256: 70e62bfe2e48f03a8a07ec6c62c3d1fbae51c677d8ed2b709c66493e2c131a89
seed: 0
xi: 0.1
architecture: mlp
feature_mode: local_bs_state
feature_names: ['log_moneyness', 'time_to_expiry', 'instantaneous_volatility', 'previous_hedge']
prediction_target: local_bs_deviation
output_initialization: zero_last
hidden_dims: [64, 32]
activation: leaky_relu
optimizer: adam
learning_rate: 0.001
paths_per_epoch: 3000
parameter_count: 2433
best_epoch: 9400
fit_and_eval_seconds: 483.0769647061825
primary_comparator: DeepHedger-NTBN-v1
smoke: False
