score: -9.625620695769184
entropic_risk: 9.625620695769184
pnl_mean: -8.59287535647154
pnl_std: 1.46652567608967
loss_cvar_95: 11.43487135664603
loss_cvar_99: 12.4578496006938
fees_mean: 0.20327465317703786
turnover_mean: 2.0436764402228595
n_paths: 100000
leaderboard: public
paths_sha256: 70e62bfe2e48f03a8a07ec6c62c3d1fbae51c677d8ed2b709c66493e2c131a89
seed: 2
xi: 0.1
architecture: mlp
feature_mode: local_bs_state
feature_names: ['log_moneyness', 'time_to_expiry', 'instantaneous_volatility', 'previous_hedge']
prediction_target: local_bs_deviation
output_initialization: zero_last
hidden_dims: [64, 32]
activation: leaky_relu
optimizer: adam
learning_rate: 0.001
paths_per_epoch: 3000
parameter_count: 2433
best_epoch: 8000
fit_and_eval_seconds: 480.02710115199443
primary_comparator: DeepHedger-NTBN-v1
smoke: False
